"height","width"
38.4,13.4
40,13.8
39.8,15.1
38,13.3
36.6,15.1
39.2,14.2
41.1,15.3
36.2,13.4
39.9,13.8
39.3,13.7
39.4,14.1
39.7,13.3
37.8,12
40.2,13.9
41.5,15
38.8,13.8
38.8,13.5
40.5,13.3
37.4,14.8
38.3,14.1
40.8,13.7
39.1,13.3
38.1,15.1
40.1,13.8
40,14.8
40.3,15
39.8,14.1
40.6,14.9
44.5,15.5
40.9,14.3
41.1,14.3
41.4,14.9
40.6,14.7
37.9,13.7
25.6,14
26.1,13.9
26.3,13.7
25.3,14.3
28,16.1
28.4,14.7
26.7,14.7
25.8,13.9
23.5,15.2
27.3,14.6
27.8,15.1
26.2,13.3
25.6,15.2
27.7,14.1
25.9,13.6
27.6,15.4
25.4,14
30.4,15.4
28,15.6
27.1,15.3
16.1,9.7
17,10
14.9,9.9
18.3,11.5
16.8,10.3
15.7,10.2
16.9,9.8
16.9,8.9
16.7,8.7
15.6,10.4
18,9.4
16.5,9.1
18.9,13.6
18.1,11.6
16,9.7
15.1,11
15.3,11.3
15.8,10.1
18,11.3
15.6,9.7
16,9.5
15,9.8
17,11.2
14.5,10.2
16,10
15,10.5
16.2,11.2
17.9,11.7
15,9.6
15,9.6
15.9,11
